game_id,team,passer_id,dropbacks,qb_epa
2020_14_ATL_LAC,ATL,00-0026143,35,-2.8096895368521038
2020_14_ATL_LAC,ATL,00-0034411,1,4.148734278278425
2020_14_ATL_LAC,LAC,00-0036355,45,5.208931110260011
2020_14_BAL_CLE,BAL,00-0034796,25,12.54877423401922
2020_14_BAL_CLE,BAL,00-0035146,4,-0.5401542992331088
2020_14_BAL_CLE,CLE,00-0031382,1,0.7341104454826564
2020_14_BAL_CLE,CLE,00-0034855,53,13.896587652445056
2020_14_DAL_CIN,CIN,00-0032434,38,10.353301600262057
2020_14_DAL_CIN,CIN,00-0035652,4,-5.005061103787739
2020_14_DAL_CIN,DAL,00-0027973,25,12.631038748357817
2020_14_DEN_CAR,CAR,00-0031237,46,-0.8163425563237974
2020_14_DEN_CAR,DEN,00-0035704,31,9.166286458537915
2020_14_GB_DET,DET,00-0026498,38,7.312408847967163
2020_14_GB_DET,DET,00-0026544,6,0.632610132717593
2020_14_GB_DET,GB,00-0023459,37,21.4488770821481
2020_14_HOU_CHI,CHI,00-0033869,39,10.060046356486112
2020_14_HOU_CHI,HOU,00-0031288,1,-4.926011307281442
2020_14_HOU_CHI,HOU,00-0033537,42,1.449512285005767
2020_14_IND_LV,IND,00-0022942,28,16.309603758704416
2020_14_IND_LV,LV,00-0031280,47,5.952752853024613
2020_14_IND_LV,LV,00-0033891,1,2.2214208621298894
2020_14_KC_MIA,KC,00-0033873,39,8.788944331978556
2020_14_KC_MIA,MIA,00-0036212,56,1.2578497029766669
2020_14_KC_MIA,MIA,00-0036364,2,-0.9035702788969502
2020_14_MIN_TB,MIN,00-0029604,48,6.582167903993559
2020_14_MIN_TB,TB,00-0019596,22,8.727868304036354
2020_14_NE_LA,LA,00-0033106,27,-3.8987958875262243
2020_14_NE_LA,NE,00-0027939,22,-17.68942699743562
2020_14_NE_LA,NE,00-0035264,9,-7.37837436189875
2020_14_NO_PHI,NO,00-0033357,46,4.453583149443858
2020_14_NO_PHI,PHI,00-0036389,33,5.73265584339935
2020_14_NYJ_SEA,NYJ,00-0034869,30,-5.997657458206607
2020_14_NYJ_SEA,SEA,00-0029263,27,14.156845473538851
2020_14_NYJ_SEA,SEA,00-0030565,6,0.6387938609695993
2020_14_PIT_BUF,BUF,00-0034857,46,-0.07976750126333698
2020_14_PIT_BUF,PIT,00-0022924,39,-12.831794607001822
